id,class,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temperature,insolation_flux,stellar_effective_temperature,stellar_surface_gravity,stellar_radius,ra,dec
0,CONFIRMED,9.48803557,2.9575,615.8,2.26,793.0,93.59,5455.0,4.467,0.927,291.93423,48.141651
1,CONFIRMED,54.4183827,4.507,874.8,2.83,443.0,9.11,5455.0,4.467,0.927,291.93423,48.141651
2,CANDIDATE,19.89913995,1.7822,10829.0,14.6,638.0,39.3,5853.0,4.544,0.868,297.00482,48.134129
3,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,1395.0,891.96,5805.0,4.564,0.791,285.53461,48.28521
4,CONFIRMED,2.525591777,1.6545,603.3,2.75,1406.0,926.16,6031.0,4.438,1.046,288.75488,48.2262
5,CONFIRMED,11.09432054,4.5945,1517.5,3.9,835.0,114.81,6046.0,4.486,0.972,296.28613,48.22467
6,CONFIRMED,4.13443512,3.1402,686.0,2.77,1160.0,427.65,6046.0,4.486,0.972,296.28613,48.22467
7,CONFIRMED,2.56658897,2.429,226.5,1.59,1360.0,807.74,6046.0,4.486,0.972,296.28613,48.22467
8,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,1342.0,767.22,6227.0,3.986,1.958,298.86435,42.151569
9,CONFIRMED,16.06864674,3.5347,4914.3,5.76,600.0,30.75,5031.0,4.485,0.848,286.99948,48.37579
10,CONFIRMED,2.470613377,1.74319,14231.0,13.04,1339.0,761.46,5820.0,4.457,0.964,286.80847,49.316399
11,CONFIRMED,2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,6440.0,4.019,1.952,292.24728,47.969521
12,CONFIRMED,3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,4.169,1.451,281.28812,42.45108
13,CONFIRMED,3.709214104,2.6302,131.1,1.16,1206.0,500.46,5833.0,4.407,1.022,295.64871,48.49556
14,FALSE POSITIVE,11.521446064,3.6399,17984.0,150.51,753.0,75.88,5795.0,4.554,0.848,297.07993,47.597401
15,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,523.0,17.69,5043.0,4.591,0.68,289.25821,47.635319
16,FALSE POSITIVE,19.221388942,4.79843,74284.0,49.29,698.0,55.97,6117.0,4.496,0.947,295.81454,47.69035
17,FALSE POSITIVE,16.46983774,9.4378,10479.0,7.94,595.0,29.61,5152.0,4.517,0.786,297.15442,47.668701
18,CONFIRMED,9.27358173,3.2875,1288.3,2.47,649.0,41.85,4856.0,4.583,0.696,288.13824,47.724449
19,CONFIRMED,6.02930329,1.5821,1912.7,2.85,678.0,50.04,4537.0,4.648,0.672,283.71088,47.86327
20,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,1066.0,305.34,4989.0,4.504,0.819,283.76547,47.804298
21,CONFIRMED,5.349553819,3.0278,831.0,2.55,919.0,168.99,5185.0,4.44,0.91,292.37613,47.880989
22,CONFIRMED,3.94105221,2.5984,363.3,1.7,1018.0,253.15,5185.0,4.44,0.91,292.37613,47.880989
23,CONFIRMED,8.10904807,3.596,217.4,1.3,800.0,97.03,5185.0,4.44,0.91,292.37613,47.880989
24,FALSE POSITIVE,386.6030528,6.8057,24927.0,41.5,297.0,1.84,5543.0,4.081,1.58,292.27374,37.671558
25,CONFIRMED,21.67699193,3.4555,857.2,2.95,530.0,18.64,4954.0,4.5,0.828,290.46512,47.92918
26,CONFIRMED,4.99677968,2.1717,934.7,2.78,917.0,166.95,5339.0,4.552,0.847,297.80826,47.946671
27,CONFIRMED,4.280963604,2.875,750.8,2.3,1012.0,247.87,5644.0,4.564,0.831,294.26581,49.314091
28,FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,5714.0,4.563,0.831,295.66522,49.351009
29,FALSE POSITIVE,670.645531,53.412,18091.0,14.14,196.0,0.35,5520.0,4.466,0.983,296.69861,49.316479
30,FALSE POSITIVE,61.2563628,7.633,5123.3,39.87,505.0,15.43,6144.0,4.402,1.091,283.72592,49.479519
31,CONFIRMED,38.3775486,5.588,724.2,2.82,529.0,18.53,5481.0,4.369,1.036,291.72202,49.480869
32,CONFIRMED,41.19725502,4.6297,2213.9,3.86,439.0,8.76,5031.0,4.485,0.848,286.99948,48.37579
33,CONFIRMED,6.252962249,2.5819,1036.9,2.65,823.0,108.3,5031.0,4.485,0.848,286.99948,48.37579
34,CONFIRMED,16.01308419,3.2554,1121.9,3.1,593.0,29.31,5015.0,4.499,0.826,297.02563,48.478588
35,CONFIRMED,32.62876672,4.7971,1804.8,3.36,506.0,15.55,5586.0,4.56,0.798,285.71854,48.505859
36,CONFIRMED,91.7732862,6.473,652.0,2.12,359.0,3.92,5586.0,4.56,0.798,285.71854,48.505859
37,CONFIRMED,4.959319244,2.22739,9802.0,12.21,1103.0,349.4,5712.0,4.359,1.082,292.16705,48.727589
38,FALSE POSITIVE,2.701287801,3.3827,860.4,6.54,1222.0,527.81,5550.0,4.468,0.91,297.92365,48.777321
39,CONFIRMED,4.49876511,3.7362,460.0,2.1,1133.0,389.62,6075.0,4.486,0.969,298.45685,48.791592
40,FALSE POSITIVE,19.651209505,5.2514,11766.0,12.42,730.0,67.03,6074.0,4.391,1.063,291.0939,48.933842
41,CONFIRMED,5.412203927,2.9472,601.6,2.94,1093.0,337.68,5779.0,4.339,1.087,287.88733,46.276241
42,CONFIRMED,41.43958662,10.5989,2793.1,5.5,516.0,16.72,5468.0,4.367,1.046,295.55505,49.017342
43,CONFIRMED,8.35389523,2.2514,1041.6,2.52,790.0,91.9,5592.0,4.582,0.787,285.49924,49.277351
44,CONFIRMED,4.125543472,3.1744,1487.3,4.43,1243.0,565.35,6174.0,4.417,1.103,291.93616,49.253979
45,CONFIRMED,2.816504904,2.50587,16814.0,12.21,1219.0,521.13,5532.0,4.452,0.955,297.01547,49.225288
46,FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,430.0,8.11,5040.0,4.628,0.705,284.17233,49.360722
